id,bolum,baslik,meslek,yardimci_karakter,yardimci_karakter_prompt,mekan_prompt,kategori,deger,sorun,bilgi,kapanis_mesaji,production,publishing,final_output,youtube_url
1,1,Fındık İtfaiyeci ile Tanışıyor,İtfaiyeci,İtfaiyeci Ayşe,"Ayse, a friendly Turkish female firefighter in her 30s, warm smile, brown hair in a ponytail, red firefighter uniform with yellow reflective stripes, red helmet","a bright clean fire station with a shiny red fire truck, hoses and helmets on the wall",Güvenlik,Ateş ve kibrit oyuncak değildir,Fındık yerde bir kibrit kutusu görür ve merakla almak ister,"Yangın görürsek hemen bir büyüğe söyler, 112'yi ararız",ateş oyuncak değil,for production,,,
2,2,Fındık Diş Hekimine Gidiyor,Diş hekimi,Diş hekimi Mehmet,"Mehmet, a gentle Turkish male dentist in his 40s, short black hair, neat beard, round glasses, white coat, light blue gloves",a cheerful colorful dental clinic with a big comfy dentist chair and a giant toy tooth,Sağlık,Dişlerimizi düzenli fırçalamak,Fındık diş fırçalamayı unuttuğu için dişi hafifçe sızlar,"Dişlerimizi günde iki kez, iki dakika fırçalarız",dişlerimi her gün fırçalamalıyım,for production,,,
3,3,Fındık Fırında Sabrı Öğreniyor,Fırıncı,Fırıncı Hasan Amca,"Hasan, a cheerful Turkish male baker in his 50s, round face, gray mustache, white baker hat, white apron dusted with flour","a cozy warm bakery with a stone oven, fresh bread loaves and simit on wooden shelves",Sabır,Beklemeyi ve sırayı öğrenmek,Fındık ekmek hamuru kabarmadan fırına atmak ister ve sırada beklemeden öne geçmek ister,Hamurun kabarması için beklemesi gerekir,güzel şeyler sabır ister,for production,,,
4,4,Fındık ve Hasta Kedi Yavrusu,Veteriner,Veteriner Zeynep,"Zeynep, a kind Turkish female veterinarian in her 20s, curly dark hair, green scrubs, stethoscope around her neck","a bright friendly veterinary clinic with a small examination table, pet toys and animal posters without text",Şefkat,Hayvanlara nazik davranmak,Fındık hasta bir kedi yavrusunu sevmek için aniden kucaklamaya çalışır,"Hayvanlar da hastalanır, onlara nazikçe yaklaşırız",hayvanlara şefkatle davranmalıyım,for production,,,
5,5,Fındık Buğday Tarlasında,Çiftçi,Çiftçi Emine Teyze,"Emine, a warm Turkish female farmer in her 50s, colorful headscarf, rosy cheeks, green overalls, straw basket","a sunny farm with golden wheat fields, a red tractor, a barn and blue sky",Doğa,Yiyecekleri israf etmemek,Fındık yarısını yediği ekmeği çöpe atmak üzeredir,"Ekmek buğdaydan yapılır, buğday tarlada emekle yetişir","ekmek emekle yapılır, israf etmemeliyim",for production,,,
6,6,Fındık Parkta Kayboluyor,Polis,Polis Memuru Ali,"Ali, a friendly Turkish male police officer in his 30s, short brown hair, kind eyes, navy blue police uniform with cap, no weapons","a sunny colorful city park with trees, a playground and a small police booth",Güvenlik,Kaybolunca ne yapılır,Fındık parkta annesini göremez ve telaşla koşmaya başlar,"Kaybolursak olduğumuz yerde durur, polise ya da görevliye söyleriz",kaybolursam durup yardım istemeliyim,for production,,,
7,7,Fındık Hata Yapmaktan Korkmuyor,Öğretmen,Öğretmen Elif,"Elif, a gentle Turkish female teacher in her 30s, shoulder-length brown hair, yellow cardigan, warm smile","a bright colorful classroom with small desks, crayons, drawings on the wall without text",Duygular,Hata yapmak normaldir,Fındık resmi bozulunca üzülür ve kâğıdı buruşturup vazgeçmek ister,Denemeye devam ederek öğreniriz,hata yapmak öğrenmenin bir parçası,for production,,,
8,8,Fındık Mutfakta Ellerini Yıkıyor,Aşçı,Aşçı Kemal,"Kemal, a jolly Turkish male chef in his 40s, tall white chef hat, white chef jacket, big friendly smile","a clean bright restaurant kitchen with pots, fresh vegetables and a sink",Hijyen,Yemekten önce el yıkamak,Fındık ellerini yıkamadan kurabiye hamuruna uzanır,Ellerimizi sabunla en az 20 saniye yıkarız,yemekten önce ellerimi yıkamalıyım,for production,,,
9,9,Fındık Uçakta Kemerini Takıyor,Pilot,Pilot Selin,"Selin, a confident Turkish female airline pilot in her 30s, dark hair in a bun, navy pilot uniform with gold stripes, pilot cap",inside a bright friendly airplane cabin with blue seats and round windows showing white clouds,Sorumluluk,Kurallara uymak,Fındık uçak kalkarken kemerini takmadan koltukta zıplamak ister,Arabada ve uçakta her zaman kemer takarız,kurallar bizi korur,for production,,,
10,10,Fındık ve Sokakların Kahramanı,Temizlik görevlisi,Temizlik Görevlisi Murat Abi,"Murat, a friendly Turkish male street cleaner in his 30s, orange reflective work vest, cap, gloves, holding a broom","a clean colorful city street with trees and three recycling bins in blue, yellow and green",Saygı,Çöpü yere atmamak,Fındık dondurma kâğıdını yere atmak üzeredir,"Çöpleri çöp kutusuna, geri dönüşümleri renkli kutulara atarız",çöpü yere atmamalıyım,for production,,,
